

This is RAxML version 8.2.12 released by Alexandros Stamatakis on May 2018.

With greatly appreciated code contributions by:
Andre Aberer      (HITS)
Simon Berger      (HITS)
Alexey Kozlov     (HITS)
Kassian Kobert    (HITS)
David Dao         (KIT and HITS)
Sarah Lutteropp   (KIT and HITS)
Nick Pattengale   (Sandia)
Wayne Pfeiffer    (SDSC)
Akifumi S. Tanabe (NRIFS)
Charlie Taylor    (UF)


Alignment has 759 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 77.33%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 500 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
GAMMA model of rate heterogeneity, ML estimate of alpha-parameter

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 759
Name: No Name Provided
DataType: AA
Substitution Matrix: LG
Using fixed base frequencies




RAxML was called as follows:

raxmlHPC-PTHREADS -T 16 -s /jetstream2/scratch/main/jobs/72980228/inputs/dataset_3e205436-d90a-4eae-b7a1-e201dcf68d8c.dat -n galaxy -m PROTGAMMALG -p 12345 -N 500 -B 0.03 -c 25 -f a -K GTR -W 100 -x 12345 



Time for BS model parameter optimization 2.006609
Bootstrap[158]: Time 69.896099 seconds, bootstrap likelihood -134438.336324, best rearrangement setting 8
Bootstrap[159]: Time 44.970019 seconds, bootstrap likelihood -120103.975942, best rearrangement setting 5
Bootstrap[160]: Time 113.040436 seconds, bootstrap likelihood -130017.161899, best rearrangement setting 15
Bootstrap[161]: Time 102.044696 seconds, bootstrap likelihood -134896.305946, best rearrangement setting 13
Bootstrap[162]: Time 106.141198 seconds, bootstrap likelihood -119785.980503, best rearrangement setting 13
Bootstrap[163]: Time 108.670321 seconds, bootstrap likelihood -133688.847530, best rearrangement setting 12
Bootstrap[164]: Time 68.649792 seconds, bootstrap likelihood -127291.943036, best rearrangement setting 7
Bootstrap[165]: Time 110.968084 seconds, bootstrap likelihood -132522.342060, best rearrangement setting 13
Bootstrap[166]: Time 95.732136 seconds, bootstrap likelihood -137851.649327, best rearrangement setting 10
Bootstrap[167]: Time 100.337877 seconds, bootstrap likelihood -136131.185184, best rearrangement setting 12
Bootstrap[168]: Time 120.138524 seconds, bootstrap likelihood -126943.073950, best rearrangement setting 14
Bootstrap[169]: Time 90.477763 seconds, bootstrap likelihood -137863.326944, best rearrangement setting 10
Bootstrap[170]: Time 48.581565 seconds, bootstrap likelihood -120063.728240, best rearrangement setting 5
Bootstrap[171]: Time 96.989332 seconds, bootstrap likelihood -135091.093291, best rearrangement setting 11
Bootstrap[172]: Time 113.263651 seconds, bootstrap likelihood -144590.025035, best rearrangement setting 12
Bootstrap[173]: Time 106.191027 seconds, bootstrap likelihood -136755.557241, best rearrangement setting 11
Bootstrap[174]: Time 112.175523 seconds, bootstrap likelihood -130449.200808, best rearrangement setting 15
Bootstrap[175]: Time 102.618334 seconds, bootstrap likelihood -135146.715910, best rearrangement setting 14
Bootstrap[176]: Time 74.869149 seconds, bootstrap likelihood -137233.874404, best rearrangement setting 8
Bootstrap[177]: Time 73.276925 seconds, bootstrap likelihood -143620.969325, best rearrangement setting 8
Bootstrap[178]: Time 114.959158 seconds, bootstrap likelihood -154624.248936, best rearrangement setting 14
Bootstrap[179]: Time 43.795051 seconds, bootstrap likelihood -144311.242172, best rearrangement setting 5
Bootstrap[180]: Time 110.226303 seconds, bootstrap likelihood -124098.565714, best rearrangement setting 12
Bootstrap[181]: Time 108.855609 seconds, bootstrap likelihood -128767.232140, best rearrangement setting 14
Bootstrap[182]: Time 62.624456 seconds, bootstrap likelihood -127520.715238, best rearrangement setting 7
Bootstrap[183]: Time 89.390027 seconds, bootstrap likelihood -121412.460927, best rearrangement setting 11
Bootstrap[184]: Time 121.777673 seconds, bootstrap likelihood -128112.818168, best rearrangement setting 15
Bootstrap[185]: Time 70.647541 seconds, bootstrap likelihood -130457.408979, best rearrangement setting 8
Bootstrap[186]: Time 117.120931 seconds, bootstrap likelihood -104945.927809, best rearrangement setting 13
Bootstrap[187]: Time 72.145138 seconds, bootstrap likelihood -130554.344951, best rearrangement setting 8
Bootstrap[188]: Time 97.400162 seconds, bootstrap likelihood -135323.707976, best rearrangement setting 12
Bootstrap[189]: Time 93.367217 seconds, bootstrap likelihood -132097.468413, best rearrangement setting 11
Bootstrap[190]: Time 134.051169 seconds, bootstrap likelihood -141308.137354, best rearrangement setting 15
Bootstrap[191]: Time 71.259312 seconds, bootstrap likelihood -148945.927600, best rearrangement setting 8
Bootstrap[192]: Time 73.260598 seconds, bootstrap likelihood -133305.425689, best rearrangement setting 8
Bootstrap[193]: Time 84.611781 seconds, bootstrap likelihood -144024.508479, best rearrangement setting 10
Bootstrap[194]: Time 71.543353 seconds, bootstrap likelihood -133061.967186, best rearrangement setting 8
Bootstrap[195]: Time 60.417384 seconds, bootstrap likelihood -121155.955327, best rearrangement setting 7
Bootstrap[196]: Time 99.434080 seconds, bootstrap likelihood -131663.341936, best rearrangement setting 11
Bootstrap[197]: Time 66.420555 seconds, bootstrap likelihood -118785.977978, best rearrangement setting 8
Bootstrap[198]: Time 120.242909 seconds, bootstrap likelihood -135813.070178, best rearrangement setting 15
Bootstrap[199]: Time 65.167214 seconds, bootstrap likelihood -131503.952644, best rearrangement setting 8
Bootstrap[200]: Time 118.198669 seconds, bootstrap likelihood -131058.149836, best rearrangement setting 12
Bootstrap[201]: Time 79.542341 seconds, bootstrap likelihood -127617.548744, best rearrangement setting 10
Bootstrap[202]: Time 101.600093 seconds, bootstrap likelihood -118767.621530, best rearrangement setting 12
Bootstrap[203]: Time 76.304589 seconds, bootstrap likelihood -132470.165727, best rearrangement setting 9
Bootstrap[204]: Time 61.261786 seconds, bootstrap likelihood -131967.119183, best rearrangement setting 7
